
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
AL051869 UNNAMED, Start: 1869-09-04 00:00:00 End: 1869-09-06 00:00:00 Duration: 2 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL061869 UNNAMED, Start: 1869-09-07 00:00:00 End: 1869-09-09 06:00:00 Duration: 2 days 6 hours, Max Wind: 100 knots, Min Pressure: 950 mb, Landfalls: 2
AL071869 UNNAMED, Start: 1869-09-11 00:00:00 End: 1869-09-18 18:00:00 Duration: 7 days 18 hours, Max Wind: 90 knots, Min Pressure: 979 mb, Landfalls: 0
AL081869 UNNAMED, Start: 1869-09-14 12:00:00 End: 1869-09-14 12:00:00 Duration: 0 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL091869 UNNAMED, Start: 1869-10-01 12:00:00 End: 1869-10-01 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL101869 UNNAMED, Start: 1869-10-04 00:00:00 End: 1869-10-05 12:00:00 Duration: 1 days 12 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 3
AL011870 UNNAMED, Start: 1870-07-30 18:00:00 End: 1870-07-30 18:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL021870 UNNAMED, Start: 1870-08-30 00:00:00 End: 1870-09-04 18:00:00 Duration: 5 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031870 UNNAMED, Start: 1870-09-01 00:00:00 End: 1870-09-04 18:00:00 Duration: 3 days 18 hours, Max Wind: 60 knots, Min Pressure: 1004 mb, Landfalls: 0
AL041870 UNNAMED, Start: 1870-09-09 00:00:00 End: 1870-09-13 18:00:00 Duration: 4 days 18 hours, Max Wind: 110 knots, Min Pressure: 948 mb, Landfalls: 0
AL051870 UNNAMED, Start: 1870-09-17 00:00:00 End: 1870-09-20 18:00:00 Duration: 3 days 18 hours, Max Wind: 80 knots, Min Pressure: 969 mb, Landfalls: 0
AL061870 UNNAMED, Start: 1870-10-05 00:00:00 End: 1870-10-14 18:00:00 Duration: 9 days 18 hours, Max Wind: 100 knots, Min Pressure: 959 mb, Landfalls: 0
AL071870 UNNAMED, Start: 1870-10-07 12:00:00 End: 1870-10-07 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL081870 UNNAMED, Start: 1870-10-10 00:00:00 End: 1870-10-11 06:00:00 Duration: 1 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL091870 UNNAMED, Start: 1870-10-19 00:00:00 End: 1870-10-22 18:00:00 Duration: 3 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 2
AL101870 UNNAMED, Start: 1870-10-23 12:00:00 End: 1870-10-23 12:00:00 Duration: 0 days 0 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL111870 UNNAMED, Start: 1870-10-30 00:00:00 End: 1870-11-03 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011871 UNNAMED, Start: 1871-06-01 00:00:00 End: 1871-06-05 18:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: 999 mb, Landfalls: 0
AL021871 UNNAMED, Start: 1871-06-08 00:00:00 End: 1871-06-10 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL031871 UNNAMED, Start: 1871-08-14 00:00:00 End: 1871-08-23 18:00:00 Duration: 9 days 18 hours, Max Wind: 100 knots, Min Pressure: 952 mb, Landfalls: 1
AL041871 UNNAMED, Start: 1871-08-17 00:00:00 End: 1871-08-30 18:00:00 Duration: 13 days 18 hours, Max Wind: 100 knots, Min Pressure: 962 mb, Landfalls: 1
AL051871 UNNAMED, Start: 1871-08-30 00:00:00 End: 1871-09-02 18:00:00 Duration: 3 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL061871 UNNAMED, Start: 1871-09-05 00:00:00 End: 1871-09-08 18:00:00 Duration: 3 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL071871 UNNAMED, Start: 1871-09-30 00:00:00 End: 1871-10-07 18:00:00 Duration: 7 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL081871 UNNAMED, Start: 1871-10-10 00:00:00 End: 1871-10-13 06:00:00 Duration: 3 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011872 UNNAMED, Start: 1872-07-09 00:00:00 End: 1872-07-13 18:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL021872 UNNAMED, Start: 1872-08-20 00:00:00 End: 1872-09-02 18:00:00 Duration: 13 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031872 UNNAMED, Start: 1872-09-09 00:00:00 End: 1872-09-20 18:00:00 Duration: 11 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041872 UNNAMED, Start: 1872-09-30 00:00:00 End: 1872-10-06 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL051872 UNNAMED, Start: 1872-10-22 00:00:00 End: 1872-10-28 06:00:00 Duration: 6 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011873 UNNAMED, Start: 1873-06-01 06:00:00 End: 1873-06-02 18:00:00 Duration: 1 days 12 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL021873 UNNAMED, Start: 1873-08-13 00:00:00 End: 1873-08-28 18:00:00 Duration: 15 days 18 hours, Max Wind: 100 knots, Min Pressure: 962 mb, Landfalls: 0
AL031873 UNNAMED, Start: 1873-09-18 00:00:00 End: 1873-09-20 18:00:00 Duration: 2 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL041873 UNNAMED, Start: 1873-09-22 00:00:00 End: 1873-09-24 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL051873 UNNAMED, Start: 1873-09-26 00:00:00 End: 1873-10-10 06:00:00 Duration: 14 days 6 hours, Max Wind: 100 knots, Min Pressure: 959 mb, Landfalls: 1
AL011874 UNNAMED, Start: 1874-07-02 00:00:00 End: 1874-07-05 06:00:00 Duration: 3 days 6 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL021874 UNNAMED, Start: 1874-08-03 00:00:00 End: 1874-08-07 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL031874 UNNAMED, Start: 1874-08-29 00:00:00 End: 1874-09-08 06:00:00 Duration: 10 days 6 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL041874 UNNAMED, Start: 1874-09-02 00:00:00 End: 1874-09-07 18:00:00 Duration: 5 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL051874 UNNAMED, Start: 1874-09-08 00:00:00 End: 1874-09-11 18:00:00 Duration: 3 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061874 UNNAMED, Start: 1874-09-25 00:00:00 End: 1874-10-01 06:00:00 Duration: 6 days 6 hours, Max Wind: 80 knots, Min Pressure: 980 mb, Landfalls: 2
AL071874 UNNAMED, Start: 1874-10-31 00:00:00 End: 1874-11-04 18:00:00 Duration: 4 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011875 UNNAMED, Start: 1875-08-16 00:00:00 End: 1875-08-19 18:00:00 Duration: 3 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021875 UNNAMED, Start: 1875-09-01 00:00:00 End: 1875-09-10 18:00:00 Duration: 9 days 18 hours, Max Wind: 70 knots, Min Pressure: 982 mb, Landfalls: 0
AL031875 UNNAMED, Start: 1875-09-08 00:00:00 End: 1875-09-18 18:00:00 Duration: 10 days 18 hours, Max Wind: 100 knots, Min Pressure: 978 mb, Landfalls: 1
AL041875 UNNAMED, Start: 1875-09-24 00:00:00 End: 1875-09-28 00:00:00 Duration: 4 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL051875 UNNAMED, Start: 1875-10-07 00:00:00 End: 1875-10-10 18:00:00 Duration: 3 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL061875 UNNAMED, Start: 1875-10-12 00:00:00 End: 1875-10-16 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011876 UNNAMED, Start: 1876-09-09 00:00:00 End: 1876-09-11 18:00:00 Duration: 2 days 18 hours, Max Wind: 80 knots, Min Pressure: 970 mb, Landfalls: 0
AL021876 UNNAMED, Start: 1876-09-12 00:00:00 End: 1876-09-19 18:00:00 Duration: 7 days 18 hours, Max Wind: 100 knots, Min Pressure: 980 mb, Landfalls: 1
AL031876 UNNAMED, Start: 1876-09-16 00:00:00 End: 1876-09-18 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL041876 UNNAMED, Start: 1876-09-29 00:00:00 End: 1876-10-05 06:00:00 Duration: 6 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL051876 UNNAMED, Start: 1876-10-12 00:00:00 End: 1876-10-23 18:00:00 Duration: 11 days 18 hours, Max Wind: 100 knots, Min Pressure: 958 mb, Landfalls: 1
AL011877 UNNAMED, Start: 1877-08-01 00:00:00 End: 1877-08-05 06:00:00 Duration: 4 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL021877 UNNAMED, Start: 1877-09-14 00:00:00 End: 1877-09-21 18:00:00 Duration: 7 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 2
AL031877 UNNAMED, Start: 1877-09-16 00:00:00 End: 1877-09-22 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041877 UNNAMED, Start: 1877-09-21 00:00:00 End: 1877-10-05 18:00:00 Duration: 14 days 18 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 1
AL051877 UNNAMED, Start: 1877-09-24 00:00:00 End: 1877-09-29 18:00:00 Duration: 5 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061877 UNNAMED, Start: 1877-10-13 00:00:00 End: 1877-10-18 18:00:00 Duration: 5 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL071877 UNNAMED, Start: 1877-10-24 00:00:00 End: 1877-10-28 06:00:00 Duration: 4 days 6 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL081877 UNNAMED, Start: 1877-11-28 00:00:00 End: 1877-11-30 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL011878 UNNAMED, Start: 1878-07-01 00:00:00 End: 1878-07-03 18:00:00 Duration: 2 days 18 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL021878 UNNAMED, Start: 1878-08-08 00:00:00 End: 1878-08-19 00:00:00 Duration: 11 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL031878 UNNAMED, Start: 1878-08-19 00:00:00 End: 1878-08-21 18:00:00 Duration: 2 days 18 hours, Max Wind: 80 knots, Min Pressure: 963 mb, Landfalls: 0
AL041878 UNNAMED, Start: 1878-08-25 00:00:00 End: 1878-08-30 18:00:00 Duration: 5 days 18 hours, Max Wind: 90 knots, Min Pressure: 972 mb, Landfalls: 0
AL051878 UNNAMED, Start: 1878-09-01 00:00:00 End: 1878-09-13 18:00:00 Duration: 12 days 18 hours, Max Wind: 90 knots, Min Pressure: 970 mb, Landfalls: 2
AL061878 UNNAMED, Start: 1878-09-12 00:00:00 End: 1878-09-18 18:00:00 Duration: 6 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL071878 UNNAMED, Start: 1878-09-24 00:00:00 End: 1878-10-08 18:00:00 Duration: 14 days 18 hours, Max Wind: 120 knots, Min Pressure: 938 mb, Landfalls: 0
AL081878 UNNAMED, Start: 1878-10-09 00:00:00 End: 1878-10-15 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: 982 mb, Landfalls: 0
AL091878 UNNAMED, Start: 1878-10-09 00:00:00 End: 1878-10-16 18:00:00 Duration: 7 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL101878 UNNAMED, Start: 1878-10-13 00:00:00 End: 1878-10-19 18:00:00 Duration: 6 days 18 hours, Max Wind: 100 knots, Min Pressure: 951 mb, Landfalls: 0
AL111878 UNNAMED, Start: 1878-10-18 00:00:00 End: 1878-10-25 18:00:00 Duration: 7 days 18 hours, Max Wind: 90 knots, Min Pressure: 963 mb, Landfalls: 1
AL121878 UNNAMED, Start: 1878-11-25 00:00:00 End: 1878-12-02 18:00:00 Duration: 7 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011879 UNNAMED, Start: 1879-08-09 00:00:00 End: 1879-08-12 18:00:00 Duration: 3 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021879 UNNAMED, Start: 1879-08-13 00:00:00 End: 1879-08-20 18:00:00 Duration: 7 days 18 hours, Max Wind: 100 knots, Min Pressure: 971 mb, Landfalls: 2
AL031879 UNNAMED, Start: 1879-08-19 00:00:00 End: 1879-08-24 18:00:00 Duration: 5 days 18 hours, Max Wind: 90 knots, Min Pressure: 964 mb, Landfalls: 1
AL041879 UNNAMED, Start: 1879-08-29 00:00:00 End: 1879-09-02 18:00:00 Duration: 4 days 18 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 1
AL051879 UNNAMED, Start: 1879-10-03 00:00:00 End: 1879-10-07 18:00:00 Duration: 4 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061879 UNNAMED, Start: 1879-10-09 00:00:00 End: 1879-10-16 18:00:00 Duration: 7 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL071879 UNNAMED, Start: 1879-10-24 00:00:00 End: 1879-10-29 18:00:00 Duration: 5 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL081879 UNNAMED, Start: 1879-11-18 00:00:00 End: 1879-11-21 18:00:00 Duration: 3 days 18 hours, Max Wind: 90 knots, Min Pressure: 968 mb, Landfalls: 0
AL011880 UNNAMED, Start: 1880-06-21 00:00:00 End: 1880-06-25 06:00:00 Duration: 4 days 6 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL021880 UNNAMED, Start: 1880-08-04 00:00:00 End: 1880-08-14 18:00:00 Duration: 10 days 18 hours, Max Wind: 130 knots, Min Pressure: 931 mb, Landfalls: 1
AL031880 UNNAMED, Start: 1880-08-15 00:00:00 End: 1880-08-20 18:00:00 Duration: 5 days 18 hours, Max Wind: 80 knots, Min Pressure: 980 mb, Landfalls: 0
AL041880 UNNAMED, Start: 1880-08-24 00:00:00 End: 1880-09-01 18:00:00 Duration: 8 days 18 hours, Max Wind: 90 knots, Min Pressure: 972 mb, Landfalls: 2
AL051880 UNNAMED, Start: 1880-08-26 00:00:00 End: 1880-09-04 18:00:00 Duration: 9 days 18 hours, Max Wind: 80 knots, Min Pressure: 977 mb, Landfalls: 0
AL061880 UNNAMED, Start: 1880-09-06 00:00:00 End: 1880-09-11 18:00:00 Duration: 5 days 18 hours, Max Wind: 70 knots, Min Pressure: 987 mb, Landfalls: 1
AL071880 UNNAMED, Start: 1880-09-08 00:00:00 End: 1880-09-10 18:00:00 Duration: 2 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL081880 UNNAMED, Start: 1880-09-27 00:00:00 End: 1880-10-04 18:00:00 Duration: 7 days 18 hours, Max Wind: 120 knots, Min Pressure: 928 mb, Landfalls: 0
AL091880 UNNAMED, Start: 1880-10-05 00:00:00 End: 1880-10-10 18:00:00 Duration: 5 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL101880 UNNAMED, Start: 1880-10-10 00:00:00 End: 1880-10-16 18:00:00 Duration: 6 days 18 hours, Max Wind: 80 knots, Min Pressure: 970 mb, Landfalls: 0
AL111880 UNNAMED, Start: 1880-10-20 12:00:00 End: 1880-10-24 18:00:00 Duration: 4 days 6 hours, Max Wind: 60 knots, Min Pressure: 991 mb, Landfalls: 0
AL011881 UNNAMED, Start: 1881-08-01 00:00:00 End: 1881-08-04 06:00:00 Duration: 3 days 6 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL031881 UNNAMED, Start: 1881-08-11 00:00:00 End: 1881-08-18 18:00:00 Duration: 7 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL021881 UNNAMED, Start: 1881-08-11 12:00:00 End: 1881-08-14 18:00:00 Duration: 3 days 6 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL041881 UNNAMED, Start: 1881-08-16 00:00:00 End: 1881-08-21 18:00:00 Duration: 5 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL051881 UNNAMED, Start: 1881-08-21 00:00:00 End: 1881-08-29 18:00:00 Duration: 8 days 18 hours, Max Wind: 90 knots, Min Pressure: 970 mb, Landfalls: 1
AL061881 UNNAMED, Start: 1881-09-07 00:00:00 End: 1881-09-11 18:00:00 Duration: 4 days 18 hours, Max Wind: 90 knots, Min Pressure: 975 mb, Landfalls: 1
AL071881 UNNAMED, Start: 1881-09-18 00:00:00 End: 1881-09-24 18:00:00 Duration: 6 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011882 UNNAMED, Start: 1882-08-24 06:00:00 End: 1882-08-25 06:00:00 Duration: 1 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021882 UNNAMED, Start: 1882-09-02 00:00:00 End: 1882-09-13 06:00:00 Duration: 11 days 6 hours, Max Wind: 110 knots, Min Pressure: 949 mb, Landfalls: 1
AL031882 UNNAMED, Start: 1882-09-14 00:00:00 End: 1882-09-16 00:00:00 Duration: 2 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL041882 UNNAMED, Start: 1882-09-21 00:00:00 End: 1882-09-24 06:00:00 Duration: 3 days 6 hours, Max Wind: 50 knots, Min Pressure: 1005 mb, Landfalls: 0
AL051882 UNNAMED, Start: 1882-09-24 00:00:00 End: 1882-09-28 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL061882 UNNAMED, Start: 1882-10-05 00:00:00 End: 1882-10-15 18:00:00 Duration: 10 days 18 hours, Max Wind: 120 knots, Min Pressure: N/A mb, Landfalls: 1
AL011883 UNNAMED, Start: 1883-08-18 00:00:00 End: 1883-08-28 18:00:00 Duration: 10 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL021883 UNNAMED, Start: 1883-08-24 00:00:00 End: 1883-09-02 18:00:00 Duration: 9 days 18 hours, Max Wind: 110 knots, Min Pressure: 963 mb, Landfalls: 0
AL031883 UNNAMED, Start: 1883-09-04 00:00:00 End: 1883-09-13 06:00:00 Duration: 9 days 6 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 1
AL041883 UNNAMED, Start: 1883-10-22 00:00:00 End: 1883-10-28 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011884 UNNAMED, Start: 1884-09-01 00:00:00 End: 1884-09-06 18:00:00 Duration: 5 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021884 UNNAMED, Start: 1884-09-03 00:00:00 End: 1884-09-16 18:00:00 Duration: 13 days 18 hours, Max Wind: 100 knots, Min Pressure: 957 mb, Landfalls: 0
AL031884 UNNAMED, Start: 1884-09-10 00:00:00 End: 1884-09-20 18:00:00 Duration: 10 days 18 hours, Max Wind: 80 knots, Min Pressure: 979 mb, Landfalls: 0
AL041884 UNNAMED, Start: 1884-10-07 00:00:00 End: 1884-10-17 18:00:00 Duration: 10 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011885 UNNAMED, Start: 1885-08-07 00:00:00 End: 1885-08-15 18:00:00 Duration: 8 days 18 hours, Max Wind: 80 knots, Min Pressure: 981 mb, Landfalls: 0
AL021885 UNNAMED, Start: 1885-08-21 00:00:00 End: 1885-08-28 18:00:00 Duration: 7 days 18 hours, Max Wind: 90 knots, Min Pressure: 958 mb, Landfalls: 1
AL031885 UNNAMED, Start: 1885-08-29 00:00:00 End: 1885-08-31 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL041885 UNNAMED, Start: 1885-09-17 00:00:00 End: 1885-09-23 18:00:00 Duration: 6 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL051885 UNNAMED, Start: 1885-09-18 00:00:00 End: 1885-09-21 18:00:00 Duration: 3 days 18 hours, Max Wind: 70 knots, Min Pressure: 999 mb, Landfalls: 0
AL061885 UNNAMED, Start: 1885-09-24 00:00:00 End: 1885-10-02 18:00:00 Duration: 8 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL071885 UNNAMED, Start: 1885-09-26 00:00:00 End: 1885-09-29 18:00:00 Duration: 3 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
